Player Name,Season,Number of Teams,Games In Season,Season Games Played,Season Goals,Season Assists,Season Points,Average Goals Per Game,Shots,Shots Per Game,Shooting Percentage,Save Percentage,Goals Against,Team,Player Games Played,Player Goals,Player Assists,Player Points,Position
Gilbert Perreault,1985-1986,,,,,,,,,,,,,BUF,72,21,39,60,C
Gilbert Perreault,1986-1987,,,,,,,,,,,,,BUF,20,9,7,16,C
Guy Lafleur,1971-1972,,,,,,,,,,,,,MTL,73,29,35,64,RW
Guy Lafleur,1972-1973,,,,,,,,,,,,,MTL,69,28,27,55,RW
Guy Lafleur,1973-1974,,,,,,,,,,,,,MTL,73,21,35,56,RW
Guy Lafleur,1974-1975,,,,,,,,,,,,,MTL,70,53,66,119,RW
Guy Lafleur,1975-1976,,,,,,,,,,,,,MTL,80,56,69,125,RW
Guy Lafleur,1976-1977,,,,,,,,,,,,,MTL,80,56,80,136,RW
Guy Lafleur,1977-1978,,,,,,,,,,,,,MTL,78,60,72,132,RW
Guy Lafleur,1978-1979,,,,,,,,,,,,,MTL,80,52,77,129,RW
Guy Lafleur,1979-1980,,,,,,,,,,,,,MTL,74,50,75,125,RW
Guy Lafleur,1980-1981,,,,,,,,,,,,,MTL,51,27,43,70,RW
Guy Lafleur,1981-1982,,,,,,,,,,,,,MTL,66,27,57,84,RW
Guy Lafleur,1982-1983,,,,,,,,,,,,,MTL,68,27,49,76,RW
Guy Lafleur,1983-1984,,,,,,,,,,,,,MTL,80,30,40,70,RW
Guy Lafleur,1984-1985,,,,,,,,,,,,,MTL,19,2,3,5,RW
Guy Lafleur,1988-1989,,,,,,,,,,,,,NYR,67,18,27,45,RW
Guy Lafleur,1989-1990,,,,,,,,,,,,,QUE,39,12,22,34,RW
Guy Lafleur,1990-1991,,,,,,,,,,,,,QUE,59,12,16,28,RW
Marcel Dionne,1971-1972,,,,,,,,,,,,,DET,78,28,49,77,C
Marcel Dionne,1972-1973,,,,,,,,,,,,,DET,77,40,50,90,C
Marcel Dionne,1973-1974,,,,,,,,,,,,,DET,74,24,54,78,C
Marcel Dionne,1974-1975,,,,,,,,,,,,,DET,80,47,74,121,C
Marcel Dionne,1975-1976,,,,,,,,,,,,,LAK,80,40,54,94,C
Marcel Dionne,1976-1977,,,,,,,,,,,,,LAK,80,53,69,122,C
Marcel Dionne,1977-1978,,,,,,,,,,,,,LAK,70,36,43,79,C
Marcel Dionne,1978-1979,,,,,,,,,,,,,LAK,80,59,71,130,C
Marcel Dionne,1979-1980,,,,,,,,,,,,,LAK,80,53,84,137,C
Marcel Dionne,1980-1981,,,,,,,,,,,,,LAK,80,58,77,135,C
Marcel Dionne,1981-1982,,,,,,,,,,,,,LAK,78,50,67,117,C
Marcel Dionne,1982-1983,,,,,,,,,,,,,LAK,80,56,51,107,C
Marcel Dionne,1983-1984,,,,,,,,,,,,,LAK,66,39,53,92,C
Marcel Dionne,1984-1985,,,,,,,,,,,,,LAK,80,46,80,126,C
Marcel Dionne,1985-1986,,,,,,,,,,,,,LAK,80,36,58,94,C
Marcel Dionne,1986-1987,,,,,,,,,,,,,NYR,81,28,56,84,C
Marcel Dionne,1987-1988,,,,,,,,,,,,,NYR,67,31,34,65,C
Marcel Dionne,1988-1989,,,,,,,,,,,,,NYR,37,7,16,23,C
Larry Robinson,1972-1973,,,,,,,,,,,,,MTL,36,2,4,6,D
Larry Robinson,1973-1974,,,,,,,,,,,,,MTL,78,6,20,26,D
Larry Robinson,1974-1975,,,,,,,,,,,,,MTL,80,14,47,61,D
Larry Robinson,1975-1976,,,,,,,,,,,,,MTL,80,10,30,40,D
Larry Robinson,1976-1977,,,,,,,,,,,,,MTL,77,19,66,85,D
Larry Robinson,1977-1978,,,,,,,,,,,,,MTL,80,13,52,65,D
Larry Robinson,1978-1979,,,,,,,,,,,,,MTL,67,16,45,61,D
Larry Robinson,1979-1980,,,,,,,,,,,,,MTL,72,14,61,75,D
Larry Robinson,1980-1981,,,,,,,,,,,,,MTL,65,12,38,50,D
Larry Robinson,1981-1982,,,,,,,,,,,,,MTL,71,12,47,59,D
Larry Robinson,1982-1983,,,,,,,,,,,,,MTL,71,14,49,63,D
Larry Robinson,1983-1984,,,,,,,,,,,,,MTL,74,9,34,43,D
Larry Robinson,1984-1985,,,,,,,,,,,,,MTL,76,14,33,47,D
Larry Robinson,1985-1986,,,,,,,,,,,,,MTL,78,19,63,82,D
Larry Robinson,1986-1987,,,,,,,,,,,,,MTL,70,13,37,50,D
Larry Robinson,1987-1988,,,,,,,,,,,,,MTL,53,6,34,40,D
Larry Robinson,1988-1989,,,,,,,,,,,,,MTL,74,4,26,30,D
Larry Robinson,1989-1990,,,,,,,,,,,,,LAK,64,7,32,39,D
Larry Robinson,1990-1991,,,,,,,,,,,,,LAK,62,1,22,23,D
Larry Robinson,1991-1992,,,,,,,,,,,,,LAK,56,3,10,13,D
Börje Salming,1973-1974,,,,,,,,,,,,,TOR,76,5,34,39,D
Börje Salming,1974-1975,,,,,,,,,,,,,TOR,60,12,25,37,D
Börje Salming,1975-1976,,,,,,,,,,,,,TOR,78,16,41,57,D
Börje Salming,1976-1977,,,,,,,,,,,,,TOR,76,12,66,78,D
Börje Salming,1977-1978,,,,,,,,,,,,,TOR,80,16,60,76,D
Börje Salming,1978-1979,,,,,,,,,,,,,TOR,78,17,56,73,D
Börje Salming,1979-1980,,,,,,,,,,,,,TOR,74,19,52,71,D
Börje Salming,1980-1981,,,,,,,,,,,,,TOR,72,5,61,66,D
Börje Salming,1981-1982,,,,,,,,,,,,,TOR,69,12,44,56,D
Börje Salming,1982-1983,,,,,,,,,,,,,TOR,69,7,38,45,D
Börje Salming,1983-1984,,,,,,,,,,,,,TOR,68,5,38,43,D
Börje Salming,1984-1985,,,,,,,,,,,,,TOR,73,6,33,39,D
Börje Salming,1985-1986,,,,,,,,,,,,,TOR,41,7,15,22,D
Börje Salming,1986-1987,,,,,,,,,,,,,TOR,56,4,16,20,D
Börje Salming,1987-1988,,,,,,,,,,,,,TOR,66,2,24,26,D
Börje Salming,1988-1989,,,,,,,,,,,,,TOR,63,3,17,20,D
Börje Salming,1989-1990,,,,,,,,,,,,,DET,49,2,17,19,D
Bob Gainey,1973-1974,,,,,,,,,,,,,MTL,66,3,7,10,LW
Bob Gainey,1974-1975,,,,,,,,,,,,,MTL,80,17,20,37,LW
Bob Gainey,1975-1976,,,,,,,,,,,,,MTL,78,15,13,28,LW
Bob Gainey,1976-1977,,,,,,,,,,,,,MTL,80,14,19,33,LW
Bob Gainey,1977-1978,,,,,,,,,,,,,MTL,66,15,16,31,LW
Bob Gainey,1978-1979,,,,,,,,,,,,,MTL,79,20,18,38,LW
Bob Gainey,1979-1980,,,,,,,,,,,,,MTL,64,14,19,33,LW
Bob Gainey,1980-1981,,,,,,,,,,,,,MTL,78,23,24,47,LW
Bob Gainey,1981-1982,,,,,,,,,,,,,MTL,79,21,24,45,LW
Bob Gainey,1982-1983,,,,,,,,,,,,,MTL,80,12,18,30,LW
Bob Gainey,1983-1984,,,,,,,,,,,,,MTL,77,17,22,39,LW
Bob Gainey,1984-1985,,,,,,,,,,,,,MTL,79,19,13,32,LW
Bob Gainey,1985-1986,,,,,,,,,,,,,MTL,80,20,23,43,LW
Bob Gainey,1986-1987,,,,,,,,,,,,,MTL,47,8,8,16,LW
Bob Gainey,1987-1988,,,,,,,,,,,,,MTL,78,11,11,22,LW
Bob Gainey,1988-1989,,,,,,,,,,,,,MTL,49,10,7,17,LW
Bryan Trottier,1975-1976,,,,,,,,,,,,,NYI,80,32,63,95,C
Bryan Trottier,1976-1977,,,,,,,,,,,,,NYI,76,30,42,72,C
Bryan Trottier,1977-1978,,,,,,,,,,,,,NYI,77,46,77,123,C
Bryan Trottier,1978-1979,,,,,,,,,,,,,NYI,76,47,87,134,C
Bryan Trottier,1979-1980,,,,,,,,,,,,,NYI,78,42,62,104,C
Bryan Trottier,1980-1981,,,,,,,,,,,,,NYI,73,31,72,103,C
Bryan Trottier,1981-1982,,,,,,,,,,,,,NYI,80,50,79,129,C
Bryan Trottier,1982-1983,,,,,,,,,,,,,NYI,80,34,55,89,C
Bryan Trottier,1983-1984,,,,,,,,,,,,,NYI,68,40,71,111,C
Bryan Trottier,1984-1985,,,,,,,,,,,,,NYI,68,28,31,59,C
Bryan Trottier,1985-1986,,,,,,,,,,,,,NYI,78,37,59,96,C
Bryan Trottier,1986-1987,,,,,,,,,,,,,NYI,80,23,64,87,C
Bryan Trottier,1987-1988,,,,,,,,,,,,,NYI,77,30,52,82,C
Bryan Trottier,1988-1989,,,,,,,,,,,,,NYI,73,17,28,45,C
Bryan Trottier,1989-1990,,,,,,,,,,,,,NYI,59,13,11,24,C
Bryan Trottier,1990-1991,,,,,,,,,,,,,PIT,52,9,19,28,C
Bryan Trottier,1991-1992,,,,,,,,,,,,,PIT,63,11,18,29,C
Bryan Trottier,1993-1994,,,,,,,,,,,,,PIT,41,4,11,15,C
Mike Bossy,1977-1978,,,,,,,,,,,,,NYI,73,53,38,,RW
Mike Bossy,1978-1979,,,,,,,,,,,,,NYI,80,69,57,,RW
Mike Bossy,1979-1980,,,,,,,,,,,,,NYI,75,51,41,,RW
Mike Bossy,1980-1981,,,,,,,,,,,,,NYI,79,68,51,,RW
Mike Bossy,1981-1982,,,,,,,,,,,,,NYI,80,64,83,,RW
Mike Bossy,1982-1983,,,,,,,,,,,,,NYI,79,60,58,,RW
Mike Bossy,1983-1984,,,,,,,,,,,,,NYI,67,51,67,,RW
Mike Bossy,1984-1985,,,,,,,,,,,,,NYI,76,58,59,,RW
Mike Bossy,1985-1986,,,,,,,,,,,,,NYI,80,61,62,,RW
Mike Bossy,1986-1987,,,,,,,,,,,,,NYI,63,38,37,,RW
Mark Messier,1979-1980,,,,,,,,,,,,,EDM,75,12,21,33,C
Mark Messier,1980-1981,,,,,,,,,,,,,EDM,72,23,40,63,LW
Mark Messier,1981-1982,,,,,,,,,,,,,EDM,78,50,38,88,LW
Mark Messier,1982-1983,,,,,,,,,,,,,EDM,77,48,58,106,LW
Mark Messier,1983-1984,,,,,,,,,,,,,EDM,73,37,64,101,LW
Mark Messier,1984-1985,,,,,,,,,,,,,EDM,55,23,31,54,C
Mark Messier,1985-1986,,,,,,,,,,,,,EDM,63,35,49,84,C
Mark Messier,1986-1987,,,,,,,,,,,,,EDM,77,37,70,107,C
Mark Messier,1987-1988,,,,,,,,,,,,,EDM,77,37,74,111,C
Mark Messier,1988-1989,,,,,,,,,,,,,EDM,72,33,61,94,C
Mark Messier,1989-1990,,,,,,,,,,,,,EDM,79,45,84,129,C
Mark Messier,1990-1991,,,,,,,,,,,,,EDM,53,12,52,64,C
Mark Messier,1991-1992,,,,,,,,,,,,,NYR,79,35,72,107,C
Mark Messier,1992-1993,,,,,,,,,,,,,NYR,75,25,66,91,C
Mark Messier,1993-1994,,,,,,,,,,,,,NYR,76,26,58,84,C
Mark Messier,1994-1995,,,,,,,,,,,,,NYR,46,14,39,53,C
Mark Messier,1995-1996,,,,,,,,,,,,,NYR,74,47,52,99,C
Mark Messier,1996-1997,,,,,,,,,,,,,NYR,71,36,48,84,C
Mark Messier,1997-1998,,,,,,,,,,,,,VAN,82,22,38,60,C
Mark Messier,1998-1999,,,,,,,,,,,,,VAN,59,13,35,48,C
Mark Messier,1999-2000,,,,,,,,,,,,,VAN,66,17,37,54,C
Mark Messier,2000-2001,,,,,,,,,,,,,NYR,82,24,43,67,C
Mark Messier,2001-2002,,,,,,,,,,,,,NYR,41,7,16,23,C
Mark Messier,2002-2003,,,,,,,,,,,,,NYR,78,18,22,40,C
Mark Messier,2003-2004,,,,,,,,,,,,,NYR,76,18,25,43,C
Wayne Gretzky,1979-1980,,,,,,,,,,,,,EDM,79,51,86,137,C
Wayne Gretzky,1980-1981,,,,,,,,,,,,,EDM,80,55,109,164,C
Wayne Gretzky,1981-1982,,,,,,,,,,,,,EDM,80,92,120,212,C
Wayne Gretzky,1982-1983,,,,,,,,,,,,,EDM,80,71,125,196,C
Wayne Gretzky,1983-1984,,,,,,,,,,,,,EDM,74,87,118,205,C
Wayne Gretzky,1984-1985,,,,,,,,,,,,,EDM,80,73,135,208,C
Wayne Gretzky,1985-1986,,,,,,,,,,,,,EDM,80,52,163,215,C
Wayne Gretzky,1986-1987,,,,,,,,,,,,,EDM,79,62,121,183,C
Wayne Gretzky,1987-1988,,,,,,,,,,,,,EDM,64,40,109,149,C
Wayne Gretzky,1988-1989,,,,,,,,,,,,,LAK,78,54,114,168,C
Wayne Gretzky,1989-1990,,,,,,,,,,,,,LAK,73,40,102,142,C
Wayne Gretzky,1990-1991,,,,,,,,,,,,,LAK,78,41,122,163,C
Wayne Gretzky,1991-1992,,,,,,,,,,,,,LAK,74,31,90,121,C
Wayne Gretzky,1992-1993,,,,,,,,,,,,,LAK,45,16,49,65,C
Wayne Gretzky,1993-1994,,,,,,,,,,,,,LAK,81,38,92,130,C
Wayne Gretzky,1994-1995,,,,,,,,,,,,,LAK,48,11,37,48,C
Wayne Gretzky,1995-1996,,,,,,,,,,,,,STL,80,23,79,102,C
Wayne Gretzky,1996-1997,,,,,,,,,,,,,NYR,82,25,72,97,C
Wayne Gretzky,1997-1998,,,,,,,,,,,,,NYR,82,23,67,90,C
Wayne Gretzky,1998-1999,,,,,,,,,,,,,NYR,70,9,53,62,C
Mike Gartner,1979-1980,,,,,,,,,,,,,WSH,77,36,32,68,RW
Mike Gartner,1980-1981,,,,,,,,,,,,,WSH,80,48,46,94,RW
Mike Gartner,1981-1982,,,,,,,,,,,,,WSH,80,35,45,80,RW
Mike Gartner,1982-1983,,,,,,,,,,,,,WSH,73,38,38,76,RW
Mike Gartner,1983-1984,,,,,,,,,,,,,WSH,80,40,45,85,RW
Mike Gartner,1984-1985,,,,,,,,,,,,,WSH,80,50,52,102,RW
Mike Gartner,1985-1986,,,,,,,,,,,,,WSH,74,35,40,75,RW
Mike Gartner,1986-1987,,,,,,,,,,,,,WSH,78,41,32,73,RW
Mike Gartner,1987-1988,,,,,,,,,,,,,WSH,80,48,33,81,RW
Mike Gartner,1988-1989,,,,,,,,,,,,,MNS,69,33,36,69,RW
Mike Gartner,1989-1990,,,,,,,,,,,,,NYR,79,45,41,86,RW
Mike Gartner,1990-1991,,,,,,,,,,,,,NYR,79,49,20,69,RW
Mike Gartner,1991-1992,,,,,,,,,,,,,NYR,76,40,41,81,RW
Mike Gartner,1992-1993,,,,,,,,,,,,,NYR,84,45,23,68,RW
Mike Gartner,1993-1994,,,,,,,,,,,,,TOR,81,34,30,64,RW
Mike Gartner,1994-1995,,,,,,,,,,,,,TOR,38,12,8,20,RW
Mike Gartner,1995-1996,,,,,,,,,,,,,TOR,82,35,19,54,RW
Mike Gartner,1996-1997,,,,,,,,,,,,,PHX,82,32,31,63,RW
Mike Gartner,1997-1998,,,,,,,,,,,,,PHX,60,12,15,27,RW
Ray Bourque,1979-1980,,,,,,,,,,,,,BOS,80,17,48,65,D
Ray Bourque,1980-1981,,,,,,,,,,,,,BOS,67,27,29,56,D
Ray Bourque,1981-1982,,,,,,,,,,,,,BOS,65,17,49,66,D
Ray Bourque,1982-1983,,,,,,,,,,,,,BOS,65,22,51,73,D
Ray Bourque,1983-1984,,,,,,,,,,,,,BOS,78,31,65,96,D
Ray Bourque,1984-1985,,,,,,,,,,,,,BOS,73,20,66,86,D
Ray Bourque,1985-1986,,,,,,,,,,,,,BOS,74,19,58,77,D
Ray Bourque,1986-1987,,,,,,,,,,,,,BOS,78,23,72,95,D
Ray Bourque,1987-1988,,,,,,,,,,,,,BOS,78,17,64,81,D
Ray Bourque,1988-1989,,,,,,,,,,,,,BOS,60,18,43,61,D
Ray Bourque,1989-1990,,,,,,,,,,,,,BOS,76,19,65,84,D
Ray Bourque,1990-1991,,,,,,,,,,,,,BOS,76,21,73,94,D
Ray Bourque,1991-1992,,,,,,,,,,,,,BOS,80,21,60,81,D
Ray Bourque,1992-1993,,,,,,,,,,,,,BOS,78,19,63,82,D
Ray Bourque,1993-1994,,,,,,,,,,,,,BOS,72,20,71,91,D
Ray Bourque,1994-1995,,,,,,,,,,,,,BOS,46,12,31,43,D
Ray Bourque,1995-1996,,,,,,,,,,,,,BOS,82,20,62,82,D
Ray Bourque,1996-1997,,,,,,,,,,,,,BOS,62,19,31,50,D
Ray Bourque,1997-1998,,,,,,,,,,,,,BOS,82,13,35,48,D
Ray Bourque,1998-1999,,,,,,,,,,,,,BOS,81,10,47,57,D
Ray Bourque,1999-2000,,,,,,,,,,,,,COL,79,18,34,52,D
Ray Bourque,2000-2001,,,,,,,,,,,,,COL,80,7,52,59,D
Peter Stastny,1980-1981,,,,,,,,,,,,,QUE,77,39,70,109,C
Peter Stastny,1981-1982,,,,,,,,,,,,,QUE,80,46,93,139,C
Peter Stastny,1982-1983,,,,,,,,,,,,,QUE,75,47,77,124,C
Peter Stastny,1983-1984,,,,,,,,,,,,,QUE,80,46,73,119,C
Peter Stastny,1984-1985,,,,,,,,,,,,,QUE,75,32,68,100,C
Peter Stastny,1985-1986,,,,,,,,,,,,,QUE,76,41,81,122,C
Peter Stastny,1986-1987,,,,,,,,,,,,,QUE,64,24,53,77,C
Peter Stastny,1987-1988,,,,,,,,,,,,,QUE,76,46,65,111,C
Peter Stastny,1988-1989,,,,,,,,,,,,,QUE,72,35,50,85,C
Peter Stastny,1989-1990,,,,,,,,,,,,,NJD,74,29,44,73,C
Peter Stastny,1990-1991,,,,,,,,,,,,,NJD,77,18,42,60,C
Peter Stastny,1991-1992,,,,,,,,,,,,,NJD,66,24,38,62,C
Peter Stastny,1992-1993,,,,,,,,,,,,,NJD,62,17,23,40,C
Peter Stastny,1993-1994,,,,,,,,,,,,,STL,17,5,11,16,C
Peter Stastny,1994-1995,,,,,,,,,,,,,STL,6,1,1,2,C
Denis Savard,1980-1981,,,,,,,,,,,,,CBH,76,28,47,75,C
Denis Savard,1981-1982,,,,,,,,,,,,,CBH,80,32,87,119,C
Denis Savard,1982-1983,,,,,,,,,,,,,CBH,78,35,86,121,C
Denis Savard,1983-1984,,,,,,,,,,,,,CBH,75,37,57,94,C
Denis Savard,1984-1985,,,,,,,,,,,,,CBH,79,38,67,105,C
Denis Savard,1985-1986,,,,,,,,,,,,,CBH,80,47,69,116,C
Denis Savard,1986-1987,,,,,,,,,,,,,CHI,70,40,50,90,C
Denis Savard,1987-1988,,,,,,,,,,,,,CHI,80,44,87,131,C
Denis Savard,1988-1989,,,,,,,,,,,,,CHI,58,23,59,82,C
Denis Savard,1989-1990,,,,,,,,,,,,,CHI,60,27,53,80,C
Denis Savard,1990-1991,,,,,,,,,,,,,MTL,70,28,31,59,C
Denis Savard,1991-1992,,,,,,,,,,,,,MTL,77,28,42,70,C
Denis Savard,1992-1993,,,,,,,,,,,,,MTL,63,16,34,50,C
Denis Savard,1993-1994,,,,,,,,,,,,,TBL,74,18,28,46,C
Denis Savard,1994-1995,,,,,,,,,,,,,2TM,43,10,15,25,C
Denis Savard,1994-1995,,,,,,,,,,,,,CHI,12,4,4,8,C
Denis Savard,1994-1995,,,,,,,,,,,,,TBL,31,6,11,17,C
Denis Savard,1995-1996,,,,,,,,,,,,,CHI,69,13,35,48,C
Denis Savard,1996-1997,,,,,,,,,,,,,CHI,64,9,18,27,C
Jari Kurri,1980-1981,,,,,,,,,,,,,EDM,75,32,43,75,LW
Jari Kurri,1981-1982,,,,,,,,,,,,,EDM,71,32,54,86,LW
Jari Kurri,1982-1983,,,,,,,,,,,,,EDM,80,45,59,104,LW
Jari Kurri,1983-1984,,,,,,,,,,,,,EDM,64,52,61,113,LW
Jari Kurri,1984-1985,,,,,,,,,,,,,EDM,73,71,64,135,LW
Jari Kurri,1985-1986,,,,,,,,,,,,,EDM,78,68,63,131,LW
Jari Kurri,1986-1987,,,,,,,,,,,,,EDM,79,54,54,108,LW
Jari Kurri,1987-1988,,,,,,,,,,,,,EDM,80,43,53,96,LW
Jari Kurri,1988-1989,,,,,,,,,,,,,EDM,76,44,58,102,LW
Jari Kurri,1989-1990,,,,,,,,,,,,,EDM,78,33,60,93,LW
Jari Kurri,1991-1992,,,,,,,,,,,,,LAK,73,23,37,60,LW
Jari Kurri,1992-1993,,,,,,,,,,,,,LAK,82,27,60,87,LW
Jari Kurri,1993-1994,,,,,,,,,,,,,LAK,81,31,46,77,LW
Jari Kurri,1994-1995,,,,,,,,,,,,,LAK,38,10,19,29,LW
Jari Kurri,1995-1996,,,,,,,,,,,,,NYR,71,18,27,45,LW
Jari Kurri,1996-1997,,,,,,,,,,,,,MDA,82,13,22,35,LW
Jari Kurri,1997-1998,,,,,,,,,,,,,COL,70,5,17,22,LW
Paul Coffey,1980-1981,,,,,,,,,,,,,EDM,74,9,23,32,D
Paul Coffey,1981-1982,,,,,,,,,,,,,EDM,80,29,60,89,D
Paul Coffey,1982-1983,,,,,,,,,,,,,EDM,80,29,67,96,D
Paul Coffey,1983-1984,,,,,,,,,,,,,EDM,80,40,86,126,D
Paul Coffey,1984-1985,,,,,,,,,,,,,EDM,80,37,84,121,D
Paul Coffey,1985-1986,,,,,,,,,,,,,EDM,79,48,90,138,D
Paul Coffey,1986-1987,,,,,,,,,,,,,EDM,59,17,50,67,D
Paul Coffey,1987-1988,,,,,,,,,,,,,PIT,46,15,52,67,D
Paul Coffey,1988-1989,,,,,,,,,,,,,PIT,75,30,83,113,D
Paul Coffey,1989-1990,,,,,,,,,,,,,PIT,80,29,74,103,D
Paul Coffey,1990-1991,,,,,,,,,,,,,PIT,76,24,69,93,D
Paul Coffey,1991-1992,,,,,,,,,,,,,LAK,64,11,58,69,D
Paul Coffey,1992-1993,,,,,,,,,,,,,LAK,80,12,75,87,D
Paul Coffey,1993-1994,,,,,,,,,,,,,DET,80,14,63,77,D
Paul Coffey,1994-1995,,,,,,,,,,,,,DET,45,14,44,58,D
Paul Coffey,1995-1996,,,,,,,,,,,,,DET,76,14,60,74,D
Paul Coffey,1996-1997,,,,,,,,,,,,,PHI,57,9,25,34,D
Paul Coffey,1997-1998,,,,,,,,,,,,,PHI,57,2,27,29,D
Paul Coffey,1998-1999,,,,,,,,,,,,,CHI,54,2,12,14,D
Paul Coffey,1999-2000,,,,,,,,,,,,,CAR,69,11,29,40,D
Paul Coffey,2000-2001,,,,,,,,,,,,,BOS,18,0,4,4,D
Al Macinnis,1981-1982,,,,,,,,,,,,,CGY,2,0,0,0,D
Al Macinnis,1982-1983,,,,,,,,,,,,,CGY,14,1,3,4,D
Al Macinnis,1983-1984,,,,,,,,,,,,,CGY,51,11,34,45,D
Al Macinnis,1984-1985,,,,,,,,,,,,,CGY,67,14,52,66,D
Al Macinnis,1985-1986,,,,,,,,,,,,,CGY,77,11,57,68,D
Al Macinnis,1986-1987,,,,,,,,,,,,,CGY,79,20,56,76,D
Al Macinnis,1987-1988,,,,,,,,,,,,,CGY,80,25,58,83,D
Al Macinnis,1988-1989,,,,,,,,,,,,,CGY,79,16,58,74,D
Al Macinnis,1989-1990,,,,,,,,,,,,,CGY,79,28,62,90,D
Al Macinnis,1990-1991,,,,,,,,,,,,,CGY,78,28,75,103,D
Al Macinnis,1991-1992,,,,,,,,,,,,,CGY,72,20,57,77,D
Al Macinnis,1992-1993,,,,,,,,,,,,,CGY,50,11,43,54,D
Al Macinnis,1993-1994,,,,,,,,,,,,,CGY,75,28,54,82,D
Al Macinnis,1994-1995,,,,,,,,,,,,,STL,32,8,20,28,D
Al Macinnis,1995-1996,,,,,,,,,,,,,STL,82,17,44,61,D
Al Macinnis,1996-1997,,,,,,,,,,,,,STL,72,13,30,43,D
Al Macinnis,1997-1998,,,,,,,,,,,,,STL,71,19,30,49,D
Al Macinnis,1998-1999,,,,,,,,,,,,,STL,82,20,42,62,D
Al Macinnis,1999-2000,,,,,,,,,,,,,STL,61,11,28,39,D
Al Macinnis,2000-2001,,,,,,,,,,,,,STL,59,12,42,54,D
Al Macinnis,2001-2002,,,,,,,,,,,,,STL,71,11,35,46,D
Al Macinnis,2002-2003,,,,,,,,,,,,,STL,80,16,52,68,D
Al Macinnis,2003-2004,,,,,,,,,,,,,STL,3,0,2,2,D
Ron Francis,1981-1982,,,,,,,,,,,,,HAR,59,25,43,68,C
Ron Francis,1982-1983,,,,,,,,,,,,,HAR,79,31,59,90,C
Ron Francis,1983-1984,,,,,,,,,,,,,HAR,72,23,60,83,C
Ron Francis,1984-1985,,,,,,,,,,,,,HAR,80,24,57,81,C
Ron Francis,1985-1986,,,,,,,,,,,,,HAR,53,24,53,77,C
Ron Francis,1986-1987,,,,,,,,,,,,,HAR,75,30,63,93,C
Ron Francis,1987-1988,,,,,,,,,,,,,HAR,80,25,50,75,C
Ron Francis,1988-1989,,,,,,,,,,,,,HAR,69,29,48,77,C
Ron Francis,1989-1990,,,,,,,,,,,,,HAR,80,32,69,101,C
Ron Francis,1990-1991,,,,,,,,,,,,,2TM,81,23,64,87,C
Ron Francis,1990-1991,,,,,,,,,,,,,HAR,67,21,55,76,C
Ron Francis,1990-1991,,,,,,,,,,,,,PIT,14,2,9,11,C
Ron Francis,1991-1992,,,,,,,,,,,,,PIT,70,21,33,54,C
Ron Francis,1992-1993,,,,,,,,,,,,,PIT,84,24,76,100,C
Ron Francis,1993-1994,,,,,,,,,,,,,PIT,82,27,66,93,C
Ron Francis,1994-1995,,,,,,,,,,,,,PIT,44,11,48,59,C
Ron Francis,1995-1996,,,,,,,,,,,,,PIT,77,27,92,119,C
Ron Francis,1996-1997,,,,,,,,,,,,,PIT,81,27,63,90,C
Ron Francis,1997-1998,,,,,,,,,,,,,PIT,81,25,62,87,C
Ron Francis,1998-1999,,,,,,,,,,,,,CAR,82,21,31,52,C
Ron Francis,1999-2000,,,,,,,,,,,,,CAR,78,23,50,73,C
Ron Francis,2000-2001,,,,,,,,,,,,,CAR,82,15,50,65,C
Ron Francis,2001-2002,,,,,,,,,,,,,CAR,80,27,50,77,C
Ron Francis,2002-2003,,,,,,,,,,,,,CAR,82,22,35,57,C
Ron Francis,2003-2004,,,,,,,,,,,,,2TM,80,13,27,40,C
Ron Francis,2003-2004,,,,,,,,,,,,,CAR,68,10,20,30,C
Ron Francis,2003-2004,,,,,,,,,,,,,TOR,12,3,7,10,C
Scott Stevens,1982-1983,,,,,,,,,,,,,WSH,77,9,16,25,D
Scott Stevens,1983-1984,,,,,,,,,,,,,WSH,78,13,32,45,D
Scott Stevens,1984-1985,,,,,,,,,,,,,WSH,80,21,44,65,D
Scott Stevens,1985-1986,,,,,,,,,,,,,WSH,73,15,38,53,D
Scott Stevens,1986-1987,,,,,,,,,,,,,WSH,77,10,51,61,D
Scott Stevens,1987-1988,,,,,,,,,,,,,WSH,80,12,60,72,D
Scott Stevens,1988-1989,,,,,,,,,,,,,WSH,80,7,61,68,D
Scott Stevens,1989-1990,,,,,,,,,,,,,WSH,56,11,29,40,D
Scott Stevens,1990-1991,,,,,,,,,,,,,STL,78,5,44,49,D
Scott Stevens,1991-1992,,,,,,,,,,,,,NJD,68,17,42,59,D
Scott Stevens,1992-1993,,,,,,,,,,,,,NJD,81,12,45,57,D
Scott Stevens,1993-1994,,,,,,,,,,,,,NJD,83,18,60,78,D
Scott Stevens,1994-1995,,,,,,,,,,,,,NJD,48,2,20,22,D
Scott Stevens,1995-1996,,,,,,,,,,,,,NJD,82,5,23,28,D
Scott Stevens,1996-1997,,,,,,,,,,,,,NJD,79,5,19,24,D
Scott Stevens,1997-1998,,,,,,,,,,,,,NJD,80,4,22,26,D
Scott Stevens,1998-1999,,,,,,,,,,,,,NJD,75,5,22,27,D
Scott Stevens,1999-2000,,,,,,,,,,,,,NJD,78,8,21,29,D
Scott Stevens,2000-2001,,,,,,,,,,,,,NJD,81,9,22,31,D
